readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
Peak,,Null,thres,7.0,,1.0,beta_p
Area,,Null,thres,7.0,,1.0,beta_p
Peaktime,,Null,thres,7.0,,1.0,beta_p
Decay,,Null,thres,7.0,,1.0,beta_p
Peak,,Null,thres,7.428571428571429,,1.0612244897959184,beta_p
Area,,Null,thres,7.428571428571429,,1.0612244897959184,beta_p
Peaktime,,Null,thres,7.428571428571429,,1.0612244897959184,beta_p
Decay,,Null,thres,7.428571428571429,,1.0612244897959184,beta_p
Peak,,Null,thres,7.857142857142857,,1.1224489795918366,beta_p
Area,,Null,thres,7.857142857142857,,1.1224489795918366,beta_p
Peaktime,,Null,thres,7.857142857142857,,1.1224489795918366,beta_p
Decay,,Null,thres,7.857142857142857,,1.1224489795918366,beta_p
Peak,,Null,thres,8.285714285714285,,1.1836734693877549,beta_p
Area,,Null,thres,8.285714285714285,,1.1836734693877549,beta_p
Peaktime,,Null,thres,8.285714285714285,,1.1836734693877549,beta_p
Decay,,Null,thres,8.285714285714285,,1.1836734693877549,beta_p
Peak,,Null,thres,8.714285714285714,,1.2448979591836733,beta_p
Area,,Null,thres,8.714285714285714,,1.2448979591836733,beta_p
Peaktime,,Null,thres,8.714285714285714,,1.2448979591836733,beta_p
Decay,,Null,thres,8.714285714285714,,1.2448979591836733,beta_p
Peak,,Null,thres,9.142857142857142,,1.3061224489795917,beta_p
Area,,Null,thres,9.142857142857142,,1.3061224489795917,beta_p
Peaktime,,Null,thres,9.142857142857142,,1.3061224489795917,beta_p
Decay,,Null,thres,9.142857142857142,,1.3061224489795917,beta_p
Peak,,Null,thres,9.571428571428571,,1.3673469387755102,beta_p
Area,,Null,thres,9.571428571428571,,1.3673469387755102,beta_p
Peaktime,,Null,thres,9.571428571428571,,1.3673469387755102,beta_p
Decay,,Null,thres,9.571428571428571,,1.3673469387755102,beta_p
Peak,,Null,thres,10.0,,1.4285714285714286,beta_p
Area,,Null,thres,10.0,,1.4285714285714286,beta_p
Peaktime,,Null,thres,10.0,,1.4285714285714286,beta_p
Decay,,Null,thres,10.0,,1.4285714285714286,beta_p
Peak,,Null,thres,10.428571428571429,,1.489795918367347,beta_p
Area,,Null,thres,10.428571428571429,,1.489795918367347,beta_p
Peaktime,,Null,thres,10.428571428571429,,1.489795918367347,beta_p
Decay,,Null,thres,10.428571428571429,,1.489795918367347,beta_p
Peak,,Null,thres,10.857142857142858,,1.5510204081632655,beta_p
